i=  1 | event=NONE | counter=1 | f_prime=43348673835.67 | f_star=37760079789.67 | 1.500->1.500 | f_range=[37760079789.67, 43348673835.67]
i=  2 | event=IMPR | counter=0 | f_prime=31718863295.67 | f_star=31718863295.67 | 1.500->96915087.833 | f_range=[31718863295.67, 43348673835.67]
i=  3 | event=NONE | counter=1 | f_prime=32046322478.00 | f_star=31718863295.67 | 96915087.833->96915087.833 | f_range=[31718863295.67, 43348673835.67]
i=  4 | event=NONE | counter=2 | f_prime=37155589195.00 | f_star=31718863295.67 | 96915087.833->96915087.833 | f_range=[31718863295.67, 43348673835.67]
i=  5 | event=IMPR | counter=0 | f_prime=26123330281.67 | f_star=26123330281.67 | 96915087.833->143544529.617 | f_range=[26123330281.67, 43348673835.67]
i=  6 | event=NONE | counter=1 | f_prime=27953761212.00 | f_star=26123330281.67 | 143544529.617->143544529.617 | f_range=[26123330281.67, 43348673835.67]
i=  7 | event=IMPR | counter=0 | f_prime=20962880828.00 | f_star=20962880828.00 | 143544529.617->186548275.064 | f_range=[20962880828.00, 43348673835.67]
i=  8 | event=NONE | counter=1 | f_prime=29232206422.67 | f_star=20962880828.00 | 186548275.064->186548275.064 | f_range=[20962880828.00, 43348673835.67]
i=  9 | event=NONE | counter=2 | f_prime=26333476370.67 | f_star=20962880828.00 | 186548275.064->186548275.064 | f_range=[20962880828.00, 43348673835.67]
i= 10 | event=IMPR | counter=0 | f_prime=13449641431.67 | f_star=13449641431.67 | 186548275.064->249158603.367 | f_range=[13449641431.67, 43348673835.67]
i= 11 | event=NONE | counter=1 | f_prime=24573353201.67 | f_star=13449641431.67 | 249158603.367->249158603.367 | f_range=[13449641431.67, 43348673835.67]
i= 12 | event=NONE | counter=2 | f_prime=19754963914.00 | f_star=13449641431.67 | 249158603.367->249158603.367 | f_range=[13449641431.67, 43348673835.67]
i= 13 | event=NONE | counter=3 | f_prime=22189275526.67 | f_star=13449641431.67 | 249158603.367->249158603.367 | f_range=[13449641431.67, 43348673835.67]
i= 14 | event=STAG | counter=0 | f_prime=34264767365.67 | f_star=13449641431.67 | 249158603.367->433810325.022 | f_range=[13449641431.67, 43348673835.67]
i= 15 | event=IMPR | counter=0 | f_prime=6087205068.67 | f_star=6087205068.67 | 433810325.022->310512239.725 | f_range=[6087205068.67, 43348673835.67]
i= 16 | event=NONE | counter=1 | f_prime=23932758845.00 | f_star=6087205068.67 | 310512239.725->310512239.725 | f_range=[6087205068.67, 43348673835.67]
i= 17 | event=NONE | counter=2 | f_prime=17385548983.67 | f_star=6087205068.67 | 310512239.725->310512239.725 | f_range=[6087205068.67, 43348673835.67]
i= 18 | event=NONE | counter=3 | f_prime=9885555543.67 | f_star=6087205068.67 | 310512239.725->310512239.725 | f_range=[6087205068.67, 43348673835.67]
i= 19 | event=STAG | counter=0 | f_prime=52368115136.67 | f_star=6087205068.67 | 310512239.725->540633210.406 | f_range=[6087205068.67, 52368115136.67]
i= 20 | event=NONE | counter=1 | f_prime=17905964281.67 | f_star=6087205068.67 | 540633210.406->540633210.406 | f_range=[6087205068.67, 52368115136.67]
i= 21 | event=NONE | counter=2 | f_prime=13794546129.67 | f_star=6087205068.67 | 540633210.406->540633210.406 | f_range=[6087205068.67, 52368115136.67]
i= 22 | event=NONE | counter=3 | f_prime=17702703980.00 | f_star=6087205068.67 | 540633210.406->540633210.406 | f_range=[6087205068.67, 52368115136.67]
i= 23 | event=STAG | counter=0 | f_prime=26667886208.00 | f_star=6087205068.67 | 540633210.406->941297091.711 | f_range=[6087205068.67, 52368115136.67]
i= 24 | event=NONE | counter=1 | f_prime=55586402037.67 | f_star=6087205068.67 | 941297091.711->941297091.711 | f_range=[6087205068.67, 55586402037.67]
i= 25 | event=NONE | counter=2 | f_prime=7684785698.67 | f_star=6087205068.67 | 941297091.711->941297091.711 | f_range=[6087205068.67, 55586402037.67]
i= 26 | event=NONE | counter=3 | f_prime=18315831506.00 | f_star=6087205068.67 | 941297091.711->941297091.711 | f_range=[6087205068.67, 55586402037.67]
i= 27 | event=STAG | counter=0 | f_prime=17978827203.67 | f_star=6087205068.67 | 941297091.711->1638893426.836 | f_range=[6087205068.67, 55586402037.67]
i= 28 | event=S_STAG | counter=0 | f_prime=20261780267.00 | f_star=6087205068.67 | 1638893426.836->787712687.503 | f_range=[6087205068.67, 55586402037.67]
i= 29 | event=NONE | counter=1 | f_prime=37781008982.00 | f_star=6087205068.67 | 787712687.503->787712687.503 | f_range=[6087205068.67, 55586402037.67]
i= 30 | event=NONE | counter=2 | f_prime=37467657813.00 | f_star=6087205068.67 | 787712687.503->787712687.503 | f_range=[6087205068.67, 55586402037.67]
i= 31 | event=NONE | counter=3 | f_prime=14974187545.67 | f_star=6087205068.67 | 787712687.503->787712687.503 | f_range=[6087205068.67, 55586402037.67]
i= 32 | event=STAG | counter=0 | f_prime=17630380847.67 | f_star=6087205068.67 | 787712687.503->1371487447.642 | f_range=[6087205068.67, 55586402037.67]
i= 33 | event=NONE | counter=1 | f_prime=16985880442.67 | f_star=6087205068.67 | 1371487447.642->1371487447.642 | f_range=[6087205068.67, 55586402037.67]
i= 34 | event=NONE | counter=2 | f_prime=19073839896.00 | f_star=6087205068.67 | 1371487447.642->1371487447.642 | f_range=[6087205068.67, 55586402037.67]
i= 35 | event=NONE | counter=3 | f_prime=27845478829.00 | f_star=6087205068.67 | 1371487447.642->1371487447.642 | f_range=[6087205068.67, 55586402037.67]
i= 36 | event=STAG | counter=0 | f_prime=15992438315.67 | f_star=6087205068.67 | 1371487447.642->2387898340.197 | f_range=[6087205068.67, 55586402037.67]
i= 37 | event=NONE | counter=1 | f_prime=12859151596.00 | f_star=6087205068.67 | 2387898340.197->2387898340.197 | f_range=[6087205068.67, 55586402037.67]
i= 38 | event=NONE | counter=2 | f_prime=19269426285.67 | f_star=6087205068.67 | 2387898340.197->2387898340.197 | f_range=[6087205068.67, 55586402037.67]
i= 39 | event=NONE | counter=3 | f_prime=16604712535.67 | f_star=6087205068.67 | 2387898340.197->2387898340.197 | f_range=[6087205068.67, 55586402037.67]
i= 40 | event=STAG | counter=0 | f_prime=15067869958.00 | f_star=6087205068.67 | 2387898340.197->4157572490.304 | f_range=[6087205068.67, 55586402037.67]
i= 41 | event=S_STAG | counter=0 | f_prime=38242907224.67 | f_star=6087205068.67 | 4157572490.304->1998282832.916 | f_range=[6087205068.67, 55586402037.67]
i= 42 | event=NONE | counter=1 | f_prime=19496295754.67 | f_star=6087205068.67 | 1998282832.916->1998282832.916 | f_range=[6087205068.67, 55586402037.67]
i= 43 | event=NONE | counter=2 | f_prime=36658939945.00 | f_star=6087205068.67 | 1998282832.916->1998282832.916 | f_range=[6087205068.67, 55586402037.67]
i= 44 | event=NONE | counter=3 | f_prime=25273736024.67 | f_star=6087205068.67 | 1998282832.916->1998282832.916 | f_range=[6087205068.67, 55586402037.67]
i= 45 | event=IMPR | counter=0 | f_prime=2938683440.67 | f_star=2938683440.67 | 1998282832.916->1147712101.495 | f_range=[2938683440.67, 55586402037.67]
i= 46 | event=NONE | counter=1 | f_prime=4879185480.67 | f_star=2938683440.67 | 1147712101.495->1147712101.495 | f_range=[2938683440.67, 55586402037.67]
i= 47 | event=NONE | counter=2 | f_prime=10351914814.67 | f_star=2938683440.67 | 1147712101.495->1147712101.495 | f_range=[2938683440.67, 55586402037.67]
